,states,pos,neg,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negIncrease,posIncrease,totalTestResultsIncrease,hash,date,year,month,week,dow,dowIndex,weeklyPosIncrease,meanWeeklyPosIncrease,stdWeeklyPosIncrease,pctWeeklyPosIncrease,zscoreWeeklyPosIncrease,day1LagDelta,day1LeadDelta,localMaximum,localMinimum
0,56,6487751,80332199,10467.0,29816.0,386655.0,6235.0,18692.0,1561.0,2056.0,2451406.0,2020-09-13T00:00:00Z,186162.0,386655.0,2020-09-13T00:00:00Z,86830417,86819950,86819950,532,617,695167,38543,733710,c49fa6e03fd0751ceb48ef3881230d71623b1230,2020-09-13,2020,9,37,Sunday,6,240234,34319.142857142855,7517.61199736041,16.043940491354263,0.5618615518252643,,-1248.0,False,False
1,56,6449208,79637032,10403.0,30689.0,386038.0,6478.0,18648.0,1610.0,2051.0,2434658.0,2020-09-12T00:00:00Z,185630.0,386038.0,2020-09-12T00:00:00Z,86096643,86086240,86086240,663,1027,726387,37295,763682,1c48f1e0af4dc85463dd087fb2d1cfc4b52ed7dc,2020-09-12,2020,9,37,Saturday,5,240234,34319.142857142855,7517.61199736041,15.52444699751076,0.3958513879011088,-1248.0,7632.0,False,True
2,56,6411913,78910645,10813.0,31421.0,385011.0,6379.0,18549.0,1715.0,2031.0,2417878.0,2020-09-11T00:00:00Z,184967.0,385011.0,2020-09-11T00:00:00Z,85333371,85322558,85322558,1018,1553,721070,44927,765997,97633c7d65f2da5689dc71eecc4eda234aa70e51,2020-09-11,2020,9,37,Friday,4,240234,34319.142857142855,7517.61199736041,18.70134951755372,1.4110673903603677,7632.0,-7346.0,True,False
3,56,6366986,78189575,10530.0,32419.0,383458.0,6524.0,18453.0,1925.0,2008.0,2403511.0,2020-09-10T00:00:00Z,183949.0,383458.0,2020-09-10T00:00:00Z,84567091,84556561,84556561,1170,1532,576461,37581,614042,9f5d388dd55ac90f6f8e7b31cbd43b419b7469b5,2020-09-10,2020,9,37,Thursday,3,240234,34319.142857142855,7517.61199736041,15.643497589849897,0.43389538380039444,-7346.0,-6598.0,False,False
4,56,6329405,77613114,6551.0,32562.0,381926.0,6646.0,18322.0,1903.0,1994.0,2387479.0,2020-09-09T00:00:00Z,182779.0,381926.0,2020-09-09T00:00:00Z,83949070,83942519,83942519,1089,2060,553429,30983,584412,e5c534217742be6f09560d25616f96c0d1915b4c,2020-09-09,2020,9,37,Wednesday,2,240234,34319.142857142855,7517.61199736041,12.897008749802277,-0.4437769411768317,-6598.0,-8760.0,False,False
5,56,6298422,77059685,8983.0,32263.0,379866.0,6542.0,18189.0,1879.0,1975.0,2359111.0,2020-09-08T00:00:00Z,181690.0,379866.0,2020-09-08T00:00:00Z,83367090,83358107,83358107,358,959,486487,22223,508710,c43bc49c6f42a78c85c704d97acdf1044d89bc3b,2020-09-08,2020,9,37,Tuesday,1,240234,34319.142857142855,7517.61199736041,9.250564033400767,-1.6090405917983082,-8760.0,6459.0,False,True
6,56,6276199,76573198,8986.0,31999.0,378907.0,6630.0,18156.0,1879.0,1967.0,2333583.0,2020-09-07T00:00:00Z,181332.0,378907.0,2020-09-07T00:00:00Z,82858383,82849397,82849397,225,492,559616,28682,588298,51f654802624bb55eeed0c26e2b4515660ddc977,2020-09-07,2020,9,37,Monday,0,240234,34319.142857142855,7517.61199736041,11.939192620528319,-0.7498581809119935,6459.0,4435.0,False,False
7,56,6247517,76013582,8946.0,32361.0,378415.0,6699.0,18125.0,1912.0,1960.0,2316020.0,2020-09-06T00:00:00Z,181107.0,378415.0,2020-09-06T00:00:00Z,82270045,82261099,82261099,449,489,702709,33117,735826,2b37b7629bd6d06ff59b73ee91322a2bae6f40fa,2020-09-06,2020,9,36,Sunday,6,278769,39824.142857142855,8122.717575388412,11.87972837725859,-0.8257264634517509,4435.0,11788.0,False,False
8,56,6214400,75310873,9021.0,33502.0,377926.0,6766.0,18089.0,1956.0,1956.0,2302203.0,2020-09-05T00:00:00Z,180658.0,377926.0,2020-09-05T00:00:00Z,81534294,81525273,81525273,918,1287,761056,44905,805961,faf4acbb02e71c38879a6a3e691f870f277f81e1,2020-09-05,2020,9,36,Saturday,5,278769,39824.142857142855,8122.717575388412,16.10831907421557,0.6255119786821085,11788.0,6686.0,False,False
9,56,6169495,74549817,10118.0,34099.0,376639.0,6924.0,18012.0,1995.0,1943.0,2283454.0,2020-09-04T00:00:00Z,179740.0,376639.0,2020-09-04T00:00:00Z,80729430,80719312,80719312,998,1239,850612,51591,902203,0b3c3e55b143f7e1e6c237a2b15b360c02d2bb8f,2020-09-04,2020,9,36,Friday,4,278769,39824.142857142855,8122.717575388412,18.506720618146208,1.4486355131329895,6686.0,-6877.0,True,False
